Id,Class,Preferred_EX_Length,Reason_Used,Process_Difficulty,Comfortability,Importance_Meeting_OG_Deadline,Pressure_Meeting_OG_Deadline,Pressure_Felt_To_CompleteHW,Importance_Meeting_Deadlines_OtherClasses,Importance_Meeting_Deadlines_OtherClasses_STRICT,Extension_Pressure_Impact,Preferred_HW_EX_AMT,Preferred_Read_EX_AMT,HW_ImportanceValue,Reason_One_EX_Leftover,Reason_No_EX_Used,Majority_of_Homework_DoneBy,Extension_Impact_onQuality,Strict_Deadline_Effect,Should_Extensions_In_All_CSCSFE,Should_Extensions_In_AllCourses,Year,Age,Est_GPA,HS_Type,num_exts,ext_1_reqd_correctly,ext_2_reqd_correctly,days_after_ ext_1_sub,days_after_ext_2_sub,num_of_late_submissions,num_of_late_submissions_with_extensions,num_of_late_submissions_without_extensions,num_of_no_submissions_with_extensions,num_of_no_submissions_without_extensions,Final_Score,Final_Exam_Score
72,CSC 144: Object Oriented Programming,One week,I didn't take an extension at all,,Somewhat uncomfortable,,,,,Exceptionally High Pressure,,2,2,not really,"I just didn't want to, but I honestly forget if I did or not",,3 days before the deadline,,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,Public High School,0,0,0,0,0,0,0,0,0,0,109.32,133.38
74,CSC 144: Object Oriented Programming,4 Days,"I had other assignments due around the same time;Emergency or family concerns;I started the assignment early enough, but waited too long to get most of it done",,Somewhat comfortable,Extremely Important,,,Extremely Important,,,3,2,not at all,,,2 days before the deadline,Made the course significantly better,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,Public High School,2,3,6,6.96,-1,1,1,0,1,0,60.15,51.38
75,CSC 144: Object Oriented Programming,One week,I didn't take an extension at all,,Very uncomfortable,Extremely Important,,,Extremely Important,Exceptionally High Pressure,,2,2,not really,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;I didn't need it, so I didn't take it;I wanted to save it for an emergency","I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",3 days before the deadline,,,Yes,No,Freshman,,4.0+,Homeschool;And dual enrolment,0,0,0,0,0,1,0,1,0,1,103.39,111.38
76,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not at all,"I didn't need it, so I didn't take it",,2 days before the deadline,,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.5 - 4.0,Homeschool,1,4,0,3.47,0,1,1,0,0,0,98.27,88.62
78,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Very uncomfortable,Extremely Important,,,,,It made no impact one way or another,3,2,not really,"I didn't need it, so I didn't take it",I took extensions,1 day before the deadline,,This policy would not impact the quality of the course overall,"Yes, but with changes (include changes in ""other"" option below);I think having the student specifying how many does within a range from 1-7 may help students with integrity and motivation","unsure, it depends on the course. Classes that are heavier in essays/projects may benefit from the extensions whereas classes with more busy work may cause students to accidentally fall behind.",Senior,,3.0 - 3.49,Public High School;Collegiate Highschool/Dual-enrollment,2,-5,-7,8.37,5.68,2,2,0,0,0,92.26,67.46
80,CSC 144: Object Oriented Programming,1 Day,I didn't take an extension at all,,,,,,,,It made no impact one way or another,"On every assignment, if needed",2,not really,,,LESS THAN 1 day before the deadline,Made the course significantly better,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,,0,0,0,0,0,0,0,0,0,0,104.27,91.31
81,CSC 261: Databases,1 Day,I didn't take an extension at all,,,,,,,,It made no impact one way or another,"On every assignment, if needed","On every assignment, if needed",not really,,,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,,0,0,0,0,0,0,0,0,0,0,77.67,89
82,CSC 144: Object Oriented Programming,3 Days,"I started the assignment early enough, but waited too long to get most of it done",Very Straightforward and Easy,Somewhat comfortable,Extremely Important,Exceptionally High Pressure,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,It increased the pressure greatly,2,0,"yes, definitely",I wanted to save it for an emergency,"I didn't need them at all, so I didn't take them",LESS THAN 1 day before the deadline,,,Yes,Yes,Freshman,,4.0+,Private Religious High School,1,3,0,5.66,0,1,1,0,0,0,93.68,89.15
86,CSC 144: Object Oriented Programming,3 Days,I didn't take an extension at all,,,,,,,,,2,2,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",2 days before the deadline,,This policy would make the course significantly worse,Yes,Yes,Freshman,,4.0+,Private Religious High School,,,,,,,,,,,,
87,CSC 344: Algorithms and Complexity,3 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I wanted more time to do a better job on the assignment, or get more work done on it;I didn't have the motivation to finish the assignment",Very Straightforward and Easy,Very comfortable,,,,,,,3,1,"yes, definitely",,,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,No,Junior,,3.0 - 3.49,Private Religious High School,1,5,-8,8.96,6.98,3,2,1,0,0,93.63,91.89
90,CSC 144: Object Oriented Programming,3 Days,I had other assignments due around the same time,Very Straightforward and Easy,Somewhat comfortable,,Zero Pressure,Zero Pressure,,Exceptionally High Pressure,It made no impact one way or another,3,0,not really,,,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,No,Sophomore,,2.0 - 2.49,Private Religious High School,0,0,0,0,0,0,0,0,0,0,84.59,82.69
92,CSC 144: Object Oriented Programming,One week,I didn't have the motivation to finish the assignment,Very Straightforward and Easy,Somewhat uncomfortable,Extremely Important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,3,0,not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Freshman,,2.5 - 2.99,Private Religious High School,2,2,7,6.67,6.79,3,2,1,0,0,87.82,73.23
93,CSC 144: Object Oriented Programming,3 Days,"I waited too long to start the assignment;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very uncomfortable,,,,,,,2,2,not at all,,,2 days before the deadline,,,Yes,No,Junior,,2.0 - 2.49,Public High School,2,6,7,6.82,-1,2,1,1,1,0,89.86,81.38
94,CSC 261: Databases,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I could have completed it on time, but I didn't want the pressure",,Somewhat comfortable,,,,Extremely Important,Exceptionally High Pressure,,3,2,not really,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,2 days before the deadline,,,Yes,"Yes, but with changes (include changes in ""other"" option below);Make it fit other classes. Maybe not always 2.",Sophomore,,3.0 - 3.49,Public High School,1,2,0,6.78,0,2,1,1,0,0,84.31,53
95,CSC 344: Algorithms and Complexity,One week,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I waited too long to start the assignment",,Very comfortable,Extremely Important,,,,,,3,2,not at all,,,LESS THAN 1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,"Yes, but with changes (include changes in ""other"" option below);I think the extension system is very useful. However, one change that I would make is to still accept late work with a penalty even if an extension is not used, whereas an extension would simply exempt the student from a late penalty up to a week. I know from experience that when assignments are not accepted after the deadline, then if I don't manage to complete an assignment on time, then I have little-to-no incentive to go back and learn the material I missed, since I know I won't be graded on it. This causes me to finish the class without ever having learned those concepts since I felt that I had nothing to gain from it. I also think under this system it would be useful to increment the late penalty each day late, so that students would still be incentivized to still the late assignments as soon as possible and avoid falling behind in the class.",Yes,Senior,,3.0 - 3.49,Homeschool,,,,,,,,,,,78.99,66.92
98,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done",,Very uncomfortable,,,,,,,2,2,not at all,,,2 days before the deadline,Made the course significantly better,,Yes,Yes,Junior,,3.0 - 3.49,Homeschool;G.E.D.,2,2,5,6.98,6.9,3,2,1,0,0,94.58,87.93
100,CSC 145: Data Structures,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;For the one particular assignment, I want to be thorough as possible before moving on, so I took another week to work on it",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,3,2,not at all,"I didn't need it, so I didn't take it",,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,Yes,Junior,,3.5 - 4.0,Public High School,1,5,0,6.97,0,1,1,0,0,0,99.44,70.69
103,CSC 145: Data Structures,5 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Neither comfortable nor uncomfortable,Extremely Important,,,Extremely Important,,,2,1,not at all,,,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes,Yes,Junior,,3.5 - 4.0,Homeschool;Public High School,2,3,5,6.65,6.77,2,2,0,0,0,105.7,87.93
104,CSC 145: Data Structures,3 Days,"I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure",Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,,Extremely Important,,,2,0,"yes, definitely","I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;I didn't need it, so I didn't take it",,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,"Yes, but with changes (include changes in ""other"" option below);Readings should be separate from Quests. Their own category grade. Extensions should be provided only with cause. A reason section should be provided to students to fill out.","Yes, but with changes (include changes in ""other"" option below);As described above",Senior,,3.5 - 4.0,Private Religious High School,1,1,0,-1,0,4,0,4,1,1,93.85,87.93
108,CSC 310: Programming Languages,One week,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,,,2,1,not really,,"I didn't need them at all, so I didn't take them;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",3 days before the deadline,,This policy would not impact the quality of the course overall,Yes,No,Senior,,3.5 - 4.0,Homeschool;Public High School,0,0,0,0,0,0,0,0,0,0,101.61,98.16
109,CSC 310: Programming Languages,One week,"I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure;Job",Very Straightforward and Easy,Very comfortable,,,,Extremely Important,,,2,2,not at all,,,2 days before the deadline,,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);Changing the number of extensions and how long the extension is depending on the workload of the entire class",Junior,,3.5 - 4.0,Public High School,,,,,,,,,,,,
111,CSC 310: Programming Languages,3 Days,"I had other assignments due around the same time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,,,,,3,3,not at all,,,2 days before the deadline,Made the course significantly better,,Yes,Yes,Senior,,3.5 - 4.0,Homeschool;Duel-Enrollment In Community College,2,3,6,5.63,6.9,2,2,0,0,0,96.47,88.97
112,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Very uncomfortable,,,,Extremely Important,,,3,2,"yes, a little bit",,,5 OR MORE days before the deadline,Made the course significantly better,This policy would make the course significantly better,Yes,Yes,Sophomore,,2.5 - 2.99,Homeschool,2,3,-5,6.9,7.01,3,2,1,0,0,87.6,68.1
113,CSC 310: Programming Languages,One week,I didn't take an extension at all,,,,,,,,It made no impact one way or another,2,3,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only",3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes,No,Sophomore,,3.5 - 4.0,Private Religious High School,0,0,0,0,0,0,0,0,0,0,97.68,92.28
114,CSC 310: Programming Languages,One week,I waited too long to start the assignment;I had other assignments due around the same time;I forgot the assignment was due,Very Straightforward and Easy,Very uncomfortable,,,,,,,2,2,not really,N/A,N/A,1 day before the deadline,,This policy would not impact the quality of the course overall,Yes,No,Senior,,3.0 - 3.49,Homeschool;Public High School,2,-4,6,3.65,6.85,3,2,1,0,0,94.77,85.66
115,CSC 145: Data Structures,2 Days,"I could have completed it on time, but I didn't want the pressure;I waited too long to start the assignment",Very Straightforward and Easy,Somewhat comfortable,,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.5 - 4.0,Private Religious High School,2,3,6,6.79,6.57,2,2,0,0,0,116.89,87.5
117,CSC 310: Programming Languages,3 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I didn't have the motivation to finish the assignment",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,Eliminated the pressure completely,4,1,"yes, definitely",,,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);Some courses need homework to be done to build on other things. However, for most classes, having optional extensions makes it feel like the focus is on learning and not work/busywork",Junior,,3.0 - 3.49,Private Religious High School,,,,,,,,,,,,
118,CSC 145: Data Structures,5 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I didn't have the motivation to finish the assignment;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Somewhat uncomfortable,,,,Extremely Important,,,3,0,not really,,,LESS THAN 1 day before the deadline,,,Yes,"Yes, but with changes (include changes in ""other"" option below);I believe it should depend on the course, if say math courses or other courses that offer multiple decently long homework assignments yes, if something like a history course that tends to have 2 exams and 1 term paper with maybe 1 in the middle paper then no",Sophomore,,3.5 - 4.0,Private Religious High School,2,3,5,7.37,6.88,2,2,0,0,1,99.15,62.07
119,CSC 344: Algorithms and Complexity,One week,"I waited too long to start the assignment;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I forgot the assignment was due",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,It made no impact one way or another,2,2,not really,,,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would make the course significantly better,No,No,Sophomore,,2.5 - 2.99,Private Religious High School,,,,,,,,,,,,
120,CSC 145: Data Structures,6 Days,"I had other assignments due around the same time;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very uncomfortable,,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I wanted to save it for an emergency;I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.",,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,3.5 - 4.0,Homeschool,1,3,0,6.98,0,1,1,0,0,0,117.17,104.31
121,CSC 310: Programming Languages,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I waited too long to start the assignment",,Very comfortable,,,,,,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,1 day before the deadline,,,Yes,Yes,Junior,,3.5 - 4.0,Private Religious High School,0,-4,0,7.67,0,1,1,0,0,0,94.08,95.96
122,CSC 310: Programming Languages,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not at all,,,2 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes,Yes,Senior,,3.5 - 4.0,Private Religious High School,,,,,,,,,,,,
123,CSC 310: Programming Languages,3 Days,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very uncomfortable,,,,,Exceptionally High Pressure,,2,4,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,2.5 - 2.99,Homeschool,,,,,,,,,,,74.59,65.81
124,CSC 145: Data Structures,4 Days,I waited too long to start the assignment,Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not really,"I didn't need it, so I didn't take it",,3 days before the deadline,,This policy would make the course significantly worse,Yes,Yes,Sophomore,,2.5 - 2.99,Private Religious High School,,,,,,,,,,,,
125,CSC 310: Programming Languages,5 Days,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Very uncomfortable,,,,,Exceptionally High Pressure,,4,"On every assignment, if needed",not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,It could be. If the teacher is amenable to extensions they should have a clear extension policy.,I disagree for writing classes. In English or History an in extenuating circumstances or when you set the new deadline is your DEADline is better.,Junior,,3.0 - 3.49,Private Religious High School;Classical College Prep School,2,3,4,6.95,6.98,2,2,0,0,2,65.19,94.49
126,CSC 145: Data Structures,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early enough, but waited too long to get most of it done",Very Straightforward and Easy,Very comfortable,Extremely Important,,,,,,2,2,not at all,,,LESS THAN 1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.0 - 3.49,Public High School,,,,,,,,,,,,
128,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Somewhat comfortable,,,,,,,3,0,"yes, definitely",,,1 day before the deadline,,,Yes,No,Sophomore,,2.0 - 2.49,Public High School,,,,,,,,,,,,
129,CSC 145: Data Structures,One week,I waited too long to start the assignment,Very Straightforward and Easy,Very comfortable,,,,,Exceptionally High Pressure,,2,2,not at all,,,2 days before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,3.5 - 4.0,Public High School,2,3,5,-1,6.98,1,1,0,1,0,97.72,100.43
130,CSC 145: Data Structures,5 Days,I waited too long to start the assignment;I had other assignments due around the same time;I took extensions on modules 5 and 3. They were pretty big and mostly my decision to making to taking extension was because these were long and arduous work. It was a tedious when trying to learning the items which we knew the logic to but we did not really code much.,Very Straightforward and Easy,Very comfortable,,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,2 days before the deadline,,,"Yes and let me explain why, here is the dael; we are computer science students. we are hard working and we enjoying to have the assignments to work on. Fact of the matter is many of us have other class which also having multiple homeworks. SO sometimes the doctor brown quest log gets pressed to the back burner. And then it simmers there for around 6-7 days until you are like ""aaah it is time to do quest log"" so then you taking extension and you can even do it over the course of the weekend. The thing is we often have no homeworks besides on the weekend due so that is how the time i get the quest log done after the deadline passes when i have taking extension.","No;I would say no because what if its your job to be doing reading and you cannot even fulfilling that obligation, I suppose you could say that of me but I am a cool exception as a computer scienceing. ",Sophomore,,3.5 - 4.0,Homeschool,2,3,5,6.57,6.95,3,2,1,0,0,114.17,89.22
131,CSC 310: Programming Languages,One week,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I could have completed it on time, but I didn't want the pressure;I forgot the assignment was due",,Very comfortable,Extremely Important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,1,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,2 days before the deadline,Made the course significantly better,,Yes,Yes,Sophomore,,2.5 - 2.99,Private Religious High School,,,,,,,,,,,,
132,CSC 145: Data Structures,One week,"I had other assignments due around the same time;I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very comfortable,,,,,,It made no impact one way or another,3,3,"yes, definitely",,,1 day before the deadline,,,Yes,Yes,Sophomore,,3.0 - 3.49,Private Religious High School,2,4,-5,6.4,6.88,3,2,1,0,1,89.55,53.88
133,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it",,Somewhat comfortable,,,,,,,2,2,not at all,"I didn't need it, so I didn't take it",N/A,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Freshman,,3.5 - 4.0,Homeschool,2,2,7,3.41,1.82,3,2,1,0,0,96.69,81.9
134,CSC 310: Programming Languages,One week,"I had other assignments due around the same time;I waited too long to start the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,,Extremely Important,,,2,1,not really,,,2 days before the deadline,Made the course significantly better,,Yes,No,Senior,,3.5 - 4.0,Private Religious High School,2,6,7,6.94,6.99,2,2,0,0,0,99.39,99.26
137,CSC 145: Data Structures,One week,Emergency or family concerns;I had other assignments due around the same time,Very Straightforward and Easy,Very uncomfortable,,,,Extremely Important,Exceptionally High Pressure,Eliminated the pressure completely,3,"On every assignment, if needed",not really,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Freshman,,3.0 - 3.49,Private Religious High School,,,,,,,,,,,,
138,CSC 145: Data Structures,One week,"i took both early to enjoy and get acclimated to the first couple weeks of the semeseter,and to stop myself from procrastinating later in the semester",Very Straightforward and Easy,Very uncomfortable,Extremely Important,Zero Pressure,Zero Pressure,,Zero Pressure,,2,2,not really,,,2 days before the deadline,,,Yes,Yes,Junior,,2.5 - 2.99,Public High School,2,3,4,6.78,5.86,2,2,0,0,1,83.91,78.02
142,CSC 145: Data Structures,One week,I had other assignments due around the same time,Very Straightforward and Easy,Somewhat comfortable,Extremely Important,Exceptionally High Pressure,Exceptionally High Pressure,Extremely Important,,,2,"On every assignment, if needed",not at all,,,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,Homeschool,2,3,4,6.79,6.11,4,2,2,0,0,71.03,65.09
143,CSC 310: Programming Languages,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Somewhat comfortable,,,Exceptionally High Pressure,Extremely Important,,,2,2,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,No,Sophomore,,3.0 - 3.49,Public High School,2,3,6,6.98,6.95,2,2,0,0,0,90.04,70.96
144,CSC 145: Data Structures,6 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very uncomfortable,,,Exceptionally High Pressure,,,,3,2,not really,,,1 day before the deadline,,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);I think it works especially well for these types of assignments that are quasi project based, because they require more time to be completed and there is a limited number of them throughout the semester.",Senior,,3.0 - 3.49,Private Non-Religious High School;Private Religious High School,,,,,,,,,,,,
146,CSC 145: Data Structures,One week,I had other assignments due around the same time,Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,Extremely Important,,,1,0,not at all,,,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,"Yes, but with changes (include changes in ""other"" option below);Only one extension",No,Sophomore,,3.5 - 4.0,Homeschool,,,,,,,,,,,,
