Id,Class,Preferred_EX_Length,Reason_Used,Process_Difficulty,Comfortability,Importance_Meeting_OG_Deadline,Pressure_Meeting_OG_Deadline,Pressure_Felt_To_CompleteHW,Importance_Meeting_Deadlines_OtherClasses,Importance_Meeting_Deadlines_OtherClasses_STRICT,Extension_Pressure_Impact,Preferred_HW_EX_AMT,Preferred_Read_EX_AMT,HW_ImportanceValue,Reason_One_EX_Leftover,Reason_No_EX_Used,Majority_of_Homework_DoneBy,Extension_Impact_onQuality,Strict_Deadline_Effect,Extensions_In_All_CSCSFE,Extensions_In_AllCourses,Year,Age,Est_GPA,HS_Type,Final_Score,Extension_1,Extension_2,Total_Extensions
62,CSC 144: Object Oriented Programming,One week,"I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time;I forgot the assignment was due;I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done",,Somewhat comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,,2,2,not really,,,3 days before the deadline,,This policy would make the course significantly worse,"Yes, but with changes (include changes in ""other"" option below);I think that you could have more extensions but of less days.","Yes, but with changes (include changes in ""other"" option below)",Junior,,3.5 - 4.0,Homeschool;Private Religious High School,99.81,1,1,2
63,CSC 144: Object Oriented Programming,One week,Emergency or family concerns,Very Straightforward and Easy,Very uncomfortable,Extremely Important,,,Extremely Important,,,3,3,not at all,"I didn't need it, so I didn't take it",,2 days before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,3.0 - 3.49,Private Religious High School,108.71,1,0,1
64,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,3,2,not really,,,LESS THAN 1 day before the deadline,Made the course significantly better,,Yes,"Yes, but with changes (include changes in ""other"" option below);I think it would need to be adjusted according to the class type, because essays and worksheets and quest logs are all different and should be treated differently.",Junior,,3.0 - 3.49,Private Religious High School,76.95,1,1,2
65,CSC 344: Algorithms and Complexity,One week,"I waited too long to start the assignment;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I forgot the assignment was due",Very Straightforward and Easy,Very uncomfortable,,,,,,,3,2,not really,"Stopped trying in the class, it felt erroneous ",,LESS THAN 1 day before the deadline,Made the course significantly better,,"Yes, but with changes (include changes in ""other"" option below);I think a certain level of leeway needs to be provided on a per student basis. Some students have a harder time with time management and they need to be able to learn how to properly manage their time without super strict punishments.",Yes,Sophomore,,2.5 - 2.99,Public High School;C.C.D. education for religion,18.14,1,0,1
66,CSC 344: Algorithms and Complexity,One week,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,Exceptionally High Pressure,It made no impact one way or another,2,2,not at all,,"I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",4 days before the deadline,,,Yes,Yes,Senior,,3.5 - 4.0,Homeschool;Public High School,102.71,0,0,0
67,CSC 261: Databases,One week,"I waited too long to start the assignment;I had other assignments due around the same time;Emergency or family concerns;I could have completed it on time, but I didn't want the pressure",Very Straightforward and Easy,Very uncomfortable,,,Zero Pressure,,,,2,2,"yes, a little bit",,,1 day before the deadline,,,"Yes, but with changes (include changes in ""other"" option below);Depends on the assignment not everything should have an extension allowed.",No,Senior,,2.5 - 2.99,Public High School,XXXXX,,,
68,CSC 144: Object Oriented Programming,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I waited too long to start the assignment",Very Straightforward and Easy,Very comfortable,Extremely Important,Exceptionally High Pressure,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,1,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,5 OR MORE days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.0 - 3.49,Public High School,107.5,1,1,2
69,CSC 261: Databases,One week,I had other assignments due around the same time;illness,,Somewhat comfortable,Extremely Important,,,,,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,LESS THAN 1 day before the deadline,,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);Assuming that it is applicable to assignment type. I.E. not for presentations or group projects",Sophomore,,3.5 - 4.0,Private Religious High School,89.4,1,0,1
70,CSC 144: Object Oriented Programming,1 Day,I waited too long to start the assignment,Very Straightforward and Easy,Very comfortable,,Exceptionally High Pressure,Exceptionally High Pressure,,,,3,1,not really,,,LESS THAN 1 day before the deadline,,,"Yes, but with changes (include changes in ""other"" option below);I would say to limit the extensions so that you can only take some of them before the midterm because the class gets significantly more complicated very quickly after the midterm","Yes, but with changes (include changes in ""other"" option below);I'd say yes but with bigger assignments not necessarily with homework",Sophomore,,3.5 - 4.0,Private Religious High School,91.2,1,1,2
71,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I started the assignment early enough, but waited too long to get most of it done;I wanted more time to do a better job on the assignment, or get more work done on it",,Very uncomfortable,,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,1 day before the deadline,Made the course significantly better,,Yes,No,Senior,,3.5 - 4.0,Homeschool,83.96,1,1,2
72,CSC 144: Object Oriented Programming,One week,I didn't take an extension at all,,Somewhat uncomfortable,,,,,Exceptionally High Pressure,,2,2,not really,"I just didn't want to, but I honestly forget if I did or not",,3 days before the deadline,,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,Didn't have a GPA,Public High School,109.32,0,0,0
73,CSC 144: Object Oriented Programming,2 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I forgot the assignment was due",Very Straightforward and Easy,Neither comfortable nor uncomfortable,Not at all important,,Zero Pressure,,Exceptionally High Pressure,Eliminated the pressure completely,"On every assignment, if needed",1,not at all,,,1 day before the deadline,,,Yes,"Yes, but with changes (include changes in ""other"" option below);I think the extensions should be used for the assignments and less for the readings",Senior,,4.0+,Public High School,71.94,1,1,2
74,CSC 144: Object Oriented Programming,4 Days,"I had other assignments due around the same time;Emergency or family concerns;I started the assignment early enough, but waited too long to get most of it done",,Somewhat comfortable,Extremely Important,,,Extremely Important,,,3,2,not at all,,,2 days before the deadline,Made the course significantly better,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,Public High School,60.15,1,1,2
75,CSC 144: Object Oriented Programming,One week,I didn't take an extension at all,,Very uncomfortable,Extremely Important,,,Extremely Important,Exceptionally High Pressure,,2,2,not really,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;I didn't need it, so I didn't take it;I wanted to save it for an emergency","I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",3 days before the deadline,,,Yes,No,Freshman,,4.0+,Homeschool;And dual enrolment,103.39,0,0,0
76,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not at all,"I didn't need it, so I didn't take it",,2 days before the deadline,,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.5 - 4.0,Homeschool,98.27,1,0,1
77,CSC 344: Algorithms and Complexity,3 Days,"I didn't take an extension at all;I started the assignment early enough, but waited too long to get most of it done",Very Straightforward and Easy,Very uncomfortable,,,,,,,3,3,"yes, a little bit",,,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,Yes,Junior,,3.0 - 3.49,Homeschool,XXXXX,,,
78,CSC 344: Algorithms and Complexity,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Very uncomfortable,Extremely Important,,,,,It made no impact one way or another,3,2,not really,"I didn't need it, so I didn't take it",I took extensions,1 day before the deadline,,This policy would not impact the quality of the course overall,"Yes, but with changes (include changes in ""other"" option below);I think having the student specifying how many does within a range from 1-7 may help students with integrity and motivation","unsure, it depends on the course. Classes that are heavier in essays/projects may benefit from the extensions whereas classes with more busy work may cause students to accidentally fall behind.",Senior,,3.0 - 3.49,Public High School;Collegiate Highschool/Dual-enrollment,92.26,1,0,1
79,CSC 344: Algorithms and Complexity,More than one week,I didn't take an extension at all,,,Extremely Important,Exceptionally High Pressure,,Extremely Important,Exceptionally High Pressure,,"On every assignment, if needed",5 or more,"yes, a little bit",,I was too focused on getting the assignments done before the deadline.,1 day before the deadline,,This policy would make the course significantly worse,Yes,Yes,Junior,,3.5 - 4.0,Public High School,97.92,0,0,0
80,CSC 144: Object Oriented Programming,1 Day,I didn't take an extension at all,,,,,,,,It made no impact one way or another,"On every assignment, if needed",2,not really,,,LESS THAN 1 day before the deadline,Made the course significantly better,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,,104.27,0,0,0
81,CSC 261: Databases,1 Day,I didn't take an extension at all,,,,,,,,It made no impact one way or another,"On every assignment, if needed","On every assignment, if needed",not really,,,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,,77.67,0,0,0
82,CSC 144: Object Oriented Programming,3 Days,"I started the assignment early enough, but waited too long to get most of it done",Very Straightforward and Easy,Somewhat comfortable,Extremely Important,Exceptionally High Pressure,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,It increased the pressure greatly,2,0,"yes, definitely",I wanted to save it for an emergency,"I didn't need them at all, so I didn't take them",LESS THAN 1 day before the deadline,,,Yes,Yes,Freshman,,4.0+,Private Religious High School,93.68,1,0,1
83,CSC 344: Algorithms and Complexity,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,2 days before the deadline,,,Yes,Yes,Senior,,3.5 - 4.0,Private Religious High School,XXXXX,,,
84,CSC 144: Object Oriented Programming,One week,"I waited too long to start the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",,Somewhat comfortable,,,,,,,2,2,not at all,,,1 day before the deadline,,,Yes,Yes,Junior,,1.5 - 1.99,Public High School,78.3,1,1,2
85,CSC 261: Databases,One week,"I had other assignments due around the same time;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very uncomfortable,Extremely Important,Exceptionally High Pressure,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly better,Yes,Yes,Senior,,3.0 - 3.49,Homeschool,XXXXX,,,
86,CSC 144: Object Oriented Programming,3 Days,I didn't take an extension at all,,,,,,,,,2,2,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",2 days before the deadline,,This policy would make the course significantly worse,Yes,Yes,Freshman,,4.0+,Private Religious High School,103.32,0,0,0
87,CSC 344: Algorithms and Complexity,3 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I wanted more time to do a better job on the assignment, or get more work done on it;I didn't have the motivation to finish the assignment",Very Straightforward and Easy,Very comfortable,,,,,,,3,1,"yes, definitely",,,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,No,Junior,,3.0 - 3.49,Private Religious High School,93.63,1,0,1
88,CSC 344: Algorithms and Complexity,One week,"I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",,Somewhat uncomfortable,Extremely Important,,Exceptionally High Pressure,,Exceptionally High Pressure,,3,3,not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,3.0 - 3.49,Public High School,XXXXX,,,
89,CSC 261: Databases,1 Day,"I had other assignments due around the same time;Emergency or family concerns;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",,Somewhat comfortable,,,,,,,"On every assignment, if needed",2,not really,"I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.",,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,No,Sophomore,,3.5 - 4.0,Homeschool;Private Religious High School,XXXXX,,,
90,CSC 144: Object Oriented Programming,3 Days,I had other assignments due around the same time,Very Straightforward and Easy,Somewhat comfortable,,Zero Pressure,Zero Pressure,,Exceptionally High Pressure,It made no impact one way or another,3,0,not really,,,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,No,Sophomore,,2.0 - 2.49,Private Religious High School,84.59,0,0,0
91,CSC 144: Object Oriented Programming,One week,I had other assignments due around the same time;I waited too long to start the assignment,Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,Exceptionally High Pressure,,,,2,2,not at all,I wanted to save it for an emergency,,LESS THAN 1 day before the deadline,,,Yes,Yes,Freshman,,3.5 - 4.0,Private Religious High School;Public High School,87.91,1,0,1
92,CSC 144: Object Oriented Programming,One week,I didn't have the motivation to finish the assignment,Very Straightforward and Easy,Somewhat uncomfortable,Extremely Important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,3,0,not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Freshman,,2.5 - 2.99,Private Religious High School,87.82,1,1,2
93,CSC 144: Object Oriented Programming,3 Days,"I waited too long to start the assignment;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very uncomfortable,,,,,,,2,2,not at all,,,2 days before the deadline,,,Yes,No,Junior,,2.0 - 2.49,Public High School,89.86,1,1,2
94,CSC 261: Databases,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I could have completed it on time, but I didn't want the pressure",,Somewhat comfortable,,,,Extremely Important,Exceptionally High Pressure,,3,2,not really,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,2 days before the deadline,,,Yes,"Yes, but with changes (include changes in ""other"" option below);Make it fit other classes. Maybe not always 2.",Sophomore,,3.0 - 3.49,Public High School,84.31,1,0,1
95,CSC 344: Algorithms and Complexity,One week,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I waited too long to start the assignment",,Very comfortable,Extremely Important,,,,,,3,2,not at all,,,LESS THAN 1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,"Yes, but with changes (include changes in ""other"" option below);I think the extension system is very useful. However, one change that I would make is to still accept late work with a penalty even if an extension is not used, whereas an extension would simply exempt the student from a late penalty up to a week. I know from experience that when assignments are not accepted after the deadline, then if I don't manage to complete an assignment on time, then I have little-to-no incentive to go back and learn the material I missed, since I know I won't be graded on it. This causes me to finish the class without ever having learned those concepts since I felt that I had nothing to gain from it. I also think under this system it would be useful to increment the late penalty each day late, so that students would still be incentivized to still the late assignments as soon as possible and avoid falling behind in the class.",Yes,Senior,,3.0 - 3.49,Homeschool,78.99,1,1,2
96,CSC 344: Algorithms and Complexity,More than one week,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,,,5 or more,5 or more,not at all,,I cared too much about the deadlines,1 day before the deadline,,This policy would make the course significantly worse,Yes,Yes,Junior,,3.5 - 4.0,Public High School,XXXXX,,,
97,CSC 144: Object Oriented Programming,One week,"I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I started the assignment early enough, but waited too long to get most of it done;I forgot the assignment was due;I didn't have the motivation to finish the assignment",,,,,,,,It made no impact one way or another,3,3,not at all,,,3 days before the deadline,,,Yes,Yes,Sophomore,,,,XXXXX,,,
98,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done",,Very uncomfortable,,,,,,,2,2,not at all,,,2 days before the deadline,Made the course significantly better,,Yes,Yes,Junior,,3.0 - 3.49,Homeschool;G.E.D.,94.58,1,1,2
99,CSC 171: Java (Applied Object-Oriented Programming),One week,"I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not really,"I didn't need it, so I didn't take it",,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes;Most classes have too much boring busywork,Yes,Senior,,2.5 - 2.99,Homeschool,94.39,1,0,1
100,CSC 145: Data Structures,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;For the one particular assignment, I want to be thorough as possible before moving on, so I took another week to work on it",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,,3,2,not at all,"I didn't need it, so I didn't take it",,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,Yes,Junior,,3.5 - 4.0,Public High School,99.44,1,0,1
101,CSC 171: Java (Applied Object-Oriented Programming),One week,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,,,3,2,not at all,,i did not take an extension because i did not realize the deadline was so soon so i did turn in something late;I wanted to save all of them for emergencies only,3 days before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,3.5 - 4.0,Homeschool,99.63,0,0,0
102,CSC 171: Java (Applied Object-Oriented Programming),One week,"I forgot the assignment was due;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I didn't have the motivation to finish the assignment;I waited too long to start the assignment",Very Straightforward and Easy,Very comfortable,,,,,,,3,2,not at all,,,1 day before the deadline,,,Yes,Yes,Senior,,3.0 - 3.49,Homeschool,100.33,1,1,2
103,CSC 145: Data Structures,5 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Neither comfortable nor uncomfortable,Extremely Important,,,Extremely Important,,,2,1,not at all,,,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes,Yes,Junior,,3.5 - 4.0,Homeschool;Public High School,105.7,1,1,2
104,CSC 145: Data Structures,3 Days,"I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure",Very Straightforward and Easy,Neither comfortable nor uncomfortable,,,,Extremely Important,,,2,0,"yes, definitely","I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;I didn't need it, so I didn't take it",,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,"Yes, but with changes (include changes in ""other"" option below);Readings should be separate from Quests. Their own category grade. Extensions should be provided only with cause. A reason section should be provided to students to fill out.","Yes, but with changes (include changes in ""other"" option below);As described above",Senior,,3.5 - 4.0,Private Religious High School,93.85,1,0,1
105,CSC 171: Java (Applied Object-Oriented Programming),One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,,,,,3,2,not really,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);I think that there is some nuance to when this should be implemented based on assignment type, but it works very well for regular mini-project assignments",Senior,,3.0 - 3.49,Public High School;Private Religious High School,60.09,1,0,1
106,CSC 171: Java (Applied Object-Oriented Programming),One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Somewhat comfortable,Extremely Important,,,Extremely Important,,,2,2,not really,"I wanted to save it for an emergency;I didn't need it, so I didn't take it;I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.",,3 days before the deadline,,,Yes,"Accomdate for class type, for ex. a writing-based class should have the ability to take extensions but a class like Biology I feel wouldnt get the same benefits;Yes, but with changes (include changes in ""other"" option below)",Sophomore,,3.0 - 3.49,Public High School,98.71,1,1,2
107,CSC 144: Object Oriented Programming,One week,I didn't take an extension at all,,,,,,,,,2,1,not at all,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.;I knew if I put it off once I would pay for it later. It would just encourage me to be more lazy since I knew I could get them done on time.",2 days before the deadline,,,"Yes, but with changes (include changes in ""other"" option below);I think it likely should become more strict for more serious, nonintroductory classes because I do think strict deadlines can be a useful tool to prepare you for the working world. However, when applicable, I think it is beneficial as it can decrease stress and make a class more enjoyable to attend.","Yes, but with changes (include changes in ""other"" option below);I think my same opinion as before applies regarding upper level courses. I also think that larger classes where a teacher needs to grad 30+ assignments it could be unfair to the teacher as well. But, if applicable, I think it would be nice to have in most introductory courses.",Senior,,3.5 - 4.0,Private Religious High School,XXXXX,,,
108,CSC 310: Programming Languages,One week,I didn't take an extension at all,,,Extremely Important,,,Extremely Important,,,2,1,not really,,"I didn't need them at all, so I didn't take them;I didn't want to ""give in"" to using them unnecessarily; I saw it as a challenge to not use them.",3 days before the deadline,,This policy would not impact the quality of the course overall,Yes,No,Senior,,3.5 - 4.0,Homeschool;Public High School,101.61,0,0,0
109,CSC 310: Programming Languages,One week,"I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure;Job",Very Straightforward and Easy,Very comfortable,,,,Extremely Important,,,2,2,not at all,,,2 days before the deadline,,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);Changing the number of extensions and how long the extension is depending on the workload of the entire class",Junior,,3.5 - 4.0,Public High School,100.87,1,1,2
110,CSC 171: Java (Applied Object-Oriented Programming),2 Days,I waited too long to start the assignment,Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not at all,,,2 days before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,3.5 - 4.0,Public High School,98.71,1,1,2
111,CSC 310: Programming Languages,3 Days,"I had other assignments due around the same time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,,,,,3,3,not at all,,,2 days before the deadline,Made the course significantly better,,Yes,Yes,Senior,,3.5 - 4.0,Homeschool;Duel-Enrollment In Community College,96.47,1,1,2
112,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I could have completed it on time, but I didn't want the pressure;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Very uncomfortable,,,,Extremely Important,,,3,2,"yes, a little bit",,,5 OR MORE days before the deadline,Made the course significantly better,This policy would make the course significantly better,Yes,Yes,Sophomore,,2.5 - 2.99,Homeschool,87.6,1,1,2
113,CSC 310: Programming Languages,One week,I didn't take an extension at all,,,,,,,,It made no impact one way or another,2,3,not really,,"I didn't need them at all, so I didn't take them;I wanted to save all of them for emergencies only",3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes,No,Sophomore,,3.5 - 4.0,Private Religious High School,97.68,0,0,0
114,CSC 310: Programming Languages,One week,I waited too long to start the assignment;I had other assignments due around the same time;I forgot the assignment was due,Very Straightforward and Easy,Very uncomfortable,,,,,,,2,2,not really,N/A,N/A,1 day before the deadline,,This policy would not impact the quality of the course overall,Yes,No,Senior,,3.0 - 3.49,Homeschool;Public High School,94.77,1,1,2
115,CSC 145: Data Structures,2 Days,"I could have completed it on time, but I didn't want the pressure;I waited too long to start the assignment",Very Straightforward and Easy,Somewhat comfortable,,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.5 - 4.0,Private Religious High School,116.89,1,1,2
116,CSC 310: Programming Languages,More than one week,I waited too long to start the assignment;I had other assignments due around the same time;Emergency or family concerns;I didn't have the motivation to finish the assignment;I forgot the assignment was due,I had a lot of trouble figuring out what I needed to do,Somewhat uncomfortable,,,,,,,"On every assignment, if needed",5 or more,"yes, definitely","I likely would have taken more extensions, but I didn't know I could request extensions until later in the semester",I couldn't figure out what I needed to do to request an extension.,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,2.5 - 2.99,Public High School,80.14,1,1,2
117,CSC 310: Programming Languages,3 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I didn't have the motivation to finish the assignment",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,,Eliminated the pressure completely,4,1,"yes, definitely",,,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);Some courses need homework to be done to build on other things. However, for most classes, having optional extensions makes it feel like the focus is on learning and not work/busywork",Junior,,3.0 - 3.49,Private Religious High School,83.25,0,0,0
118,CSC 145: Data Structures,5 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I didn't have the motivation to finish the assignment;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Somewhat uncomfortable,,,,Extremely Important,,,3,0,not really,,,LESS THAN 1 day before the deadline,,,Yes,"Yes, but with changes (include changes in ""other"" option below);I believe it should depend on the course, if say math courses or other courses that offer multiple decently long homework assignments yes, if something like a history course that tends to have 2 exams and 1 term paper with maybe 1 in the middle paper then no",Sophomore,,3.5 - 4.0,Private Religious High School,99.15,1,1,2
119,CSC 344: Algorithms and Complexity,One week,"I waited too long to start the assignment;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead;I forgot the assignment was due",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,,Exceptionally High Pressure,It made no impact one way or another,2,2,not really,,,LESS THAN 1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would make the course significantly better,No,No,Sophomore,,2.5 - 2.99,Private Religious High School,XXXXX,,,
120,CSC 145: Data Structures,6 Days,"I had other assignments due around the same time;Emergency or family concerns;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very uncomfortable,,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,"I wanted to save it for an emergency;I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.",,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,3.5 - 4.0,Homeschool,117.17,1,0,1
121,CSC 310: Programming Languages,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I waited too long to start the assignment",,Very comfortable,,,,,,,2,2,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,1 day before the deadline,,,Yes,Yes,Junior,,3.5 - 4.0,Private Religious High School,94.08,0,0,0
122,CSC 310: Programming Languages,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not at all,,,2 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,,Yes,Yes,Senior,,3.5 - 4.0,Private Religious High School,XXXXX,,,0
